"iso","adm1","umd_tree_cover_gain__ha","umd_tree_cover_extent_2000__ha"
"BRA",1,70405.39836007768341540,70405.39836007768341540
"BRA",2,15740.63668153207677475,15740.63668153207677475
"BRA",3,78082.19336132671807029,78082.19336132671807029
"BRA",4,220976.23418227915080989,220976.23418227915080989
"BRA",5,389764.82208702631589229,389764.82208702631589229
"BRA",6,25947.75062764790013736,25947.75062764790013736
"BRA",7,6164.46123053582988841,6164.46123053582988841
"BRA",8,138381.69701892977000713,138381.69701892977000713
"BRA",9,289184.93956304598041945,289184.93956304598041945
"BRA",10,380151.45833158029024085,380151.45833158029024085
"BRA",11,999971.23839085578050370,999971.23839085578050370
"BRA",12,689666.00698952030838155,689666.00698952030838155
"BRA",13,1301298.46855869515916543,1301298.46855869515916543
"BRA",14,791515.28481809311502547,791515.28481809311502547
"BRA",15,11850.80414928377293006,11850.80414928377293006
"BRA",16,496914.42125592642242502,496914.42125592642242502
"BRA",17,21583.15863904658984158,21583.15863904658984158
"BRA",18,54891.93839089540176803,54891.93839089540176803
"BRA",19,41521.07664594282082701,41521.07664594282082701
"BRA",20,4638.56375618012699981,4638.56375618012699981
"BRA",21,573993.22888420516771896,573993.22888420516771896
"BRA",22,133609.92684008734669558,133609.92684008734669558
"BRA",23,39996.10438204368371347,39996.10438204368371347
"BRA",24,371905.85351000422631045,371905.85351000422631045
"BRA",25,749387.18300971667730831,749387.18300971667730831
"BRA",26,10562.90001129365348494,10562.90001129365348494
"BRA",27,158436.59126780549678027,158436.59126780549678027
